year_adj,make,model,price_adj(0-1)
0,Chevrolet,Corvette,$0.68
1,Chevrolet,Corvette,$0.53
1,Cadillac,Fleetwood,$0.89
2,Chevrolet,Corvette,$0.53
2,Ford,Thunderbird,$0.57
3,Chevrolet,Corvette,$0.60
4,Chevrolet,Corvette,$0.59
4,BMW,300,$0.20
5,Chevrolet,Corvette,$0.65
5,Ford,Thunderbird,$0.61
6,Austin,Mini,$0.24
6,Chevrolet,Corvette,$0.69
7,Chevrolet,Corvair,$0.35
7,Chevrolet,Corvette,$0.68
7,Fairthorpe,Rockette,$0.17
8,Austin,Mini Cooper,$0.30
8,Studebaker,Avanti,$0.95
8,Pontiac,Tempest,$0.50
8,Chevrolet,Corvette,$0.68
9,Pontiac,Grand Prix,$0.68
9,Chevrolet,Corvette,$0.69
9,Studebaker,Avanti,$0.95
9,Buick,Special,$0.40
10,Austin,Mini,$0.23
10,Austin,Mini Cooper S,$0.29
10,Ford,E-Series,$0.35
10,Studebaker,Avanti,$0.75
10,Pontiac,Grand Prix,$0.59
10,Chevrolet,Corvair 500,$0.34
10,Chevrolet,Corvette,$0.68
11,Chevrolet,Corvette,$0.67
11,Ford,Mustang,$0.39
11,Ford,Galaxie,$0.42
11,Pontiac,GTO,$0.42
11,Pontiac,LeMans,$0.58
11,Pontiac,Bonneville,$0.60
11,Pontiac,Grand Prix,$0.60
11,Plymouth,Fury,$0.63
11,Studebaker,Avanti,$0.74
11,Austin,Mini Cooper,$0.29
12,Ford,Fairlane,$0.40
12,Ford,Mustang,$0.39
12,Ford,Thunderbird,$0.73
12,Pontiac,GTO,$0.49
12,Pontiac,Grand Prix,$0.60
12,Pontiac,LeMans,$0.42
12,Pontiac,Bonneville,$0.30
12,Pontiac,Tempest,$0.37
12,Volkswagen,Beetle,$0.26
12,Chevrolet,Corvette,$0.68
13,Ford,Galaxie,$0.41
13,Ford,Mustang,$0.42
13,Ford,Falcon,$0.33
13,Pontiac,Grand Prix,$0.60
13,Pontiac,GTO,$0.47
13,Chevrolet,Corvette,$0.66
14,Pontiac,Firebird,$0.46
14,Pontiac,Grand Prix,$0.61
14,Pontiac,GTO,$0.47
14,Chevrolet,Corvette,$0.66
14,Ford,Thunderbird,$0.70
15,Pontiac,Firebird,$0.45
15,Pontiac,GTO,$0.46
15,Pontiac,Grand Prix,$0.58
15,Ford,Mustang,$0.41
15,Chevrolet,Corvette,$0.65
16,Pontiac,Firebird,$0.51
